Product,Quantity,Price (USD),Link,,,,,,,,Webpage Name
ESP32 S3,1,$5.72,https://electrobes.com/product/esp32-s3-development-board-wifi-bluetooth-mcu-module/,,,,,,,,electrobes.com
Battery,1,1.97,https://electrobes.com/product/1400mah-3-7v-1s-rechargeable-lithium-ion-battery-li-ion-lithium-polymer-li-ion-lipo-battery/,,,,,,,,electrobes.com
Lithium Battery Charging Discharge Boost Converter,1,0.5,https://electrobes.com/product/j5019-3-7v-9v-5v-2a-adjustable-step-up-18650-lithium-battery-charging-discharge-boost-converter/,,,,,,,,electrobes.com
Joystick,1,0.64,https://electrobes.com/product/joystick-module-2-axis-dual-axis/,,,,,,,,electrobes.com
Push Buttons,8,0.018,https://electrobes.com/product/5x5mm-momentary-tactile-pushbutton-switch-5pcs/,,,,,,,,electrobes.com
3.5 inch TFT Touchscreen Display,1,10.01,https://electrobes.com/product/3-5-inch-tft-touchscreen-display-for-arduino-uno-leonardo-mega-shield/,,,,,,,,electrobes.com
Resistor,8,0.0072,https://electrobes.com/product/1-4-w-resistor-10k-ohm/,,,,,,,,electrobes.com
On/Off Switch,1,0.036,https://electrobes.com/product/single-state-slide-switch/,,,,,,,,electrobes.com
Hard jumper wire,1,0.16,https://electrobes.com/product/1-meter-2-core-twisted-hard-jumper-wires-cable/,,,,,,,,electrobes.com
Veroboard,1,1.07,https://electrobes.com/product/9cm-x-15cm-single-sided-fr4-fiber-glass-dotted-veroboard-2/,,,,,,,,electrobes.com
Buzzer,1,0.11,https://electrobes.com/product/5v-active-piezo-buzzer/,,,,,,,,electrobes.com
